Date and Time,ASTEP,ATIME,GAIN,LED Status,LED Intensity,Test,Milliseconds,Seconds,Type,F1 (Basic),F2 (Basic),F3 (Basic),F4 (Basic),F5 (Basic),F6 (Basic),F7 (Basic),F8 (Basic),Clear (Basic),NIR (Basic),Type,F1 (Raw),F2 (Raw),F3 (Raw),F4 (Raw),F5 (Raw),F6 (Raw),F7 (Raw),F8 (Raw),Clear (Raw),NIR (Raw)
2023/8/19 (Saturday) 13:37:38,599,59,8,LED ON,255,0.25 ,1,1631,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,1,2,1,3,0
2023/8/19 (Saturday) 13:37:38,599,59,8,LED ON,255,0.25 ,2,2299,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,1,2,1,3,0
2023/8/19 (Saturday) 13:37:39,599,59,8,LED ON,255,0.25 ,2,2966,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,1,2,1,3,0
2023/8/19 (Saturday) 13:37:40,599,59,8,LED ON,255,0.25 ,3,3631,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,1,2,1,3,0
2023/8/19 (Saturday) 13:37:40,599,59,8,LED ON,255,0.25 ,4,4301,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,1,2,1,3,0
2023/8/19 (Saturday) 13:37:41,599,59,8,LED ON,255,0.25 ,4,4968,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,1,2,1,3,0
2023/8/19 (Saturday) 13:37:42,599,59,8,LED ON,255,0.25 ,5,5636,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,1,2,1,3,0
2023/8/19 (Saturday) 13:37:42,599,59,8,LED ON,255,0.25 ,6,6343,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,1,1,1,3,0
2023/8/19 (Saturday) 13:37:43,599,59,8,LED ON,255,0.25 ,7,7007,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,1,2,1,3,0
2023/8/19 (Saturday) 13:37:44,599,59,8,LED ON,255,0.25 ,7,7672,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,1,2,1,3,0
